date,Name,playerid,Team,PlayerName,firstLastName,UPURL,xMLBAMID,POS,ADP,IP,mW,mERA,mWHIP,mSO,mQS,PTS,aPOS,FPTS,Dollars,Adjusted,Cost,cPOS
2025-06-26,"<a href=""statss.aspx?playerid=22267&position=P"">Tarik Skubal</a>",22267,DET,Tarik Skubal,Tarik Skubal,/players/tarik-skubal/22267/stats?position=P,669373,SP,13.8100004196167,100.0,24.7335215692365,37.89184094170573,38.35005733031768,22.860728547937,18.5250556850478,142.36120407424474,30.623426011533123,172.98463008577784,173.98463008577784,173.98463008577784,,10
2025-06-26,"<a href=""statss.aspx?playerid=33677&position=P"">Paul Skenes</a>",33677,PIT,Paul Skenes,Paul Skenes,/players/paul-skenes/33677/stats?position=P,694973,SP,10.890000343322754,91.0,9.05734594884178,30.7072403096867,25.959675027172675,17.7027368701339,14.7951787039844,98.22217685981948,30.623426011533123,128.8456028713526,129.8456028713526,129.8456028713526,,10
2025-06-26,"<a href=""statss.aspx?playerid=10310&position=P"">Zack Wheeler</a>",10310,PHI,Zack Wheeler,Zack Wheeler,/players/zack-wheeler/10310/stats?position=P,554430,SP,21.649999618530273,104.0,16.8954337590391,19.163354407677236,24.67266966798562,22.2876183615144,14.7951787039844,97.81425490020085,30.623426011533123,128.437680911734,129.437680911734,129.437680911734,,10
2025-06-26,"<a href=""statss.aspx?playerid=22250&position=P"">Logan Gilbert</a>",22250,SEA,Logan Gilbert,Logan Gilbert,/players/logan-gilbert/22250/stats?position=P,669302,SP,26.360000610351562,96.0,9.05734594884178,18.019174605973497,32.357544188065994,16.5565164972887,14.7951787039844,90.78575994415445,30.623426011533123,121.40918595568759,122.40918595568759,122.40918595568759,,10
2025-06-26,"<a href=""statss.aspx?playerid=27498&position=P"">Spencer Strider</a>",27498,ATL,Spencer Strider,Spencer Strider,/players/spencer-strider/27498/stats?position=P,675911,SP,101.01000213623047,86.0,16.8954337590391,9.08317012916816,13.005172264751458,22.860728547937,11.065301722921,72.90980642381678,30.623426011533123,103.53323243534992,104.53323243534992,104.53323243534992,,10
2025-06-26,"<a href=""statss.aspx?playerid=27463&position=P"">Garrett Crochet</a>",27463,BOS,Garrett Crochet,Garrett Crochet,/players/garrett-crochet/27463/stats?position=P,676979,SP,23.670000076293945,81.0,9.05734594884178,17.482218847352392,15.349481239228702,15.9834063108662,11.065301722921,68.93775406921009,30.623426011533123,99.56118008074321,100.56118008074321,100.56118008074321,,10
2025-06-26,"<a href=""statss.aspx?playerid=25436&position=P"">George Kirby</a>",25436,SEA,George Kirby,George Kirby,/players/george-kirby/25436/stats?position=P,669923,SP,100.83999633789062,95.0,16.8954337590391,7.689736790129246,23.21001003405382,7.38675351452766,11.065301722921,66.2472358206709,30.623426011533123,96.87066183220402,97.87066183220402,97.87066183220402,,10
2025-06-26,"<a href=""statss.aspx?playerid=33825&position=P"">Yoshinobu Yamamoto</a>",33825,LAD,Yoshinobu Yamamoto,Yoshinobu Yamamoto,/players/yoshinobu-yamamoto/33825/stats?position=P,808967,SP,59.349998474121094,86.0,16.8954337590391,13.37218711469713,13.005172264751458,10.2523044466405,11.065301722921,64.59039930804926,30.623426011533123,95.21382531958237,96.21382531958237,96.21382531958237,,10
2025-06-26,"<a href=""statss.aspx?playerid=10954&position=P"">Jacob deGrom</a>",10954,TEX,Jacob deGrom,Jacob deGrom,/players/jacob-degrom/10954/stats?position=P,594798,SP,49.810001373291016,76.0,1.21925813864442,17.303233594478694,26.43596834907655,8.5329738873728,7.33542474185762,60.82685871143009,30.623426011533123,91.45028472296323,92.45028472296323,92.45028472296323,,10
2025-06-26,"<a href=""statss.aspx?playerid=17995&position=P"">Logan Webb</a>",17995,SFG,Logan Webb,Logan Webb,/players/logan-webb/17995/stats?position=P,657277,SP,98.33999633789062,105.0,16.8954337590391,16.625741266934583,1.0370358143581675,10.2523044466405,14.7951787039844,59.60569399095683,30.623426011533123,90.22912000248995,91.22912000248995,91.22912000248995,,10
